# DemoBank - extracto movimientos 2024
date,description,amount,category
15/01/2024,Café Central,"12,50 €",Food
2024-02-03,Metro monthly pass,"45,00€",Transport
03-15-2024,SUPERMARKET XYZ,"€1.234,56",Food
15/01/2024,Café Central,"12,50 €",Food
2024/05/20,Pharmacy,"(18,75)",Health
05/20/2024,Pharmacy,"(18,75)",Health
06-01-2024,Electric bill,"890.12",Utilities
01/06/2024,Electric bill,"890.12",Utilities
2024-07-10,Bookstore,"32.90",Other
10/07/2024,Bookstore,"32,90",Other
2024-08-22,Restaurant Luna,"€ 67,00",Food
22/08/2024,Restaurant Luna,"67,00 €",Food
2024-09-05,ATM withdrawal,"200,00",Cash
2024-09-05,ATM withdrawal,"200,00",Cash
12/10/2024,Online subscription,"9.99",Entertainment
2024-10-12,Online subscription,"9,99",Entertainment
11/11/2024,Unknown merchant,"15.0",Uncategorized
30/11/2024,Corner shop,"5,00","  Food  "
